protein_name,kingdom,n_residues,n_frames_geo,n_frames_graph,rg,rg_err,ree,ree_err,delta,delta_err,nu,nu_err,A0,A0_err,fragmentation_index,fragmentation_index_std,global_efficiency,global_efficiency_std,avg_clustering,avg_clustering_std,transitivity,transitivity_std,degree_assortativity,degree_assortativity_std
A0A014QYM5,Fungi,146,200,50,3.189255952835083,0.045889328500637,7.901696681976318,0.208894718063103,0.3630423843860626,0.0132104449769818,0.4873067184254057,0.0009065361942744,0.6513499919217346,0.002474805341715,0.9989041095890412,0.0034546630720324,0.1451585380951892,0.022744528328357,0.104617950542608,0.031570631898342,0.1560743996026655,0.0416545939159486,0.3578564346127965,0.1007685233691925
A0A015JIE0,Fungi,110,200,50,3.032345533370972,0.0454841750605867,7.40212345123291,0.1948327423734919,0.4242948293685913,0.0127823172898081,0.5388898842510413,0.0011900269654765,0.585908906230009,0.0027501984465861,0.9881818181818184,0.0613956145632838,0.1590986517001598,0.0261731513877302,0.0911980867617231,0.0324693712481325,0.1299065518004614,0.0393467649013914,0.3202680797775506,0.0976962240337687
A0A015JUN3,Fungi,50,200,50,2.01088809967041,0.0286010916365292,4.796612739562988,0.1279103915863904,0.4460404515266418,0.0140197571914577,0.5454244630801923,0.0021497356466498,0.5862919768418461,0.0040201000208604,0.994,0.0184390889145857,0.2424482359943124,0.0259624222666123,0.0901346031746031,0.0385822569214912,0.1297224512640586,0.0621334475860069,0.2600335432749291,0.1425632609127305
A0A016UXC2,Protists,127,200,50,3.1520984172821045,0.0445374809787047,7.32817268371582,0.201430190875775,0.417058378458023,0.0132080004597682,0.5219157494614478,0.0004312040802462,0.6026217732863431,0.0010589800822526,1.0,0.0,0.155048768386895,0.0230562885477647,0.1196962766017884,0.0356083092551251,0.1645114985765892,0.0382416989906121,0.3267411016428099,0.106712521302079
A0A016W122,Protists,85,200,50,2.4253180027008057,0.0407057423931852,5.741411209106445,0.1687731604930727,0.4080952107906341,0.0146044077372887,0.5186495962689197,0.0007491848144534,0.57829333006985,0.0015955169587379,0.9974117647058824,0.0067746729641825,0.2055088772639401,0.0273985475842629,0.1372331720567014,0.0397571856462827,0.1816710730312463,0.0435658143532819,0.3084244506118714,0.1109853495836675
A0A059D3A3,Plants,41,200,50,2.109076976776123,0.0253899653953326,5.301748752593994,0.1144904219814063,0.5356379151344299,0.0134472691724357,0.6472217243212152,0.0034470873396754,0.5146744938342032,0.0054039821630482,0.988780487804878,0.0683292584982776,0.2268806854318526,0.0271578165778377,0.048390243902439,0.0459866063861328,0.0721815563320116,0.0675515077686893,0.2126227081375277,0.1548841615531269
A0A059IY03,Fungi,97,200,50,2.576134443283081,0.0384003561411727,5.705744743347168,0.1727664900957829,0.37630295753479,0.012638031768616,0.4396091108193538,0.0022165201071302,0.7643489093149659,0.0063776790588636,0.997319587628866,0.0102700283755977,0.1845665331983495,0.0311061545999345,0.1019432171494026,0.0391277334162701,0.1377442009506918,0.0417183321259868,0.302355271960899,0.0767051075144978
A0A059J365,Fungi,246,203,51,4.337959289550781,0.0696684621890517,9.49585247039795,0.280318554298111,0.3839621841907501,0.0128999599392475,0.4746406246528279,0.0003736570964444,0.7257542804369814,0.0012735701102792,0.9997608799617408,0.0012501504177712,0.1077322302297699,0.019243917893224,0.1033513035665116,0.0242249177070859,0.1465621234724172,0.0272481288228933,0.3456482388751666,0.062170253788883
A0A060BGV2,Viruses,32,200,50,1.88457989692688,0.0205875005949103,4.783968448638916,0.1017709245693036,0.5699297189712524,0.0140876009735057,0.6637235900168693,0.0102179631252147,0.5169885373091901,0.0149062973442549,0.97625,0.0902600409926784,0.249984835939507,0.0361097019368708,0.046845238095238,0.0487132266349928,0.0723732846633853,0.0780764979378693,0.1621064543063447,0.1445268364465093
A0A061D931,Protists,187,200,50,3.170263767242432,0.0509572552264052,6.7086591720581055,0.2235069292893936,0.3055189251899719,0.0116143775413531,0.372272307746355,0.0008407684066618,0.932652894370176,0.0034150961647484,0.9989304812834224,0.0074866310160427,0.1424630087511336,0.0235208334486257,0.1113713297991372,0.0244034854287372,0.152462049734824,0.0254509385240451,0.3521932739002633,0.0753294557074257
