Device: CPU
Non-viral pool: 9247 | OOD viral (fixed): 1025

============================================================
SATURATION RUN: n500_seed42
============================================================
  n_train=450  n_val=50  n_ood=1025  kingdoms=5

Training kestrel_n500_seed42 (2,185,578 params)
  Ep      Trn      Val      Rg      nu       Δ    geff
───────────────────────────────────────────────────────
   1   0.7398   0.8589   0.296   0.030   0.163   0.737
   2   0.6093   0.8460   0.450   0.014   0.122   0.505
   3   0.5918   0.8282   0.606   0.019   0.122   0.745
   4   0.7331   0.7828   0.646   0.046   0.163   0.762
   5   0.5431   0.9973   0.620   0.078   0.190   0.637
   6   0.5513   0.8666   0.561   0.010  -0.006   0.802
   7   0.4789   0.7681   0.575   0.050   0.146   0.856
   8   0.4424   0.7717   0.702   0.048   0.194   0.871
   9   0.4740   0.7661   0.545   0.078   0.205   0.826
  10   0.4178   0.8258   0.695  -0.014  -0.024   0.852
  11   0.4495   0.7318   0.719   0.085   0.234   0.873
  12   0.4188   0.7635   0.681   0.058   0.198   0.809
  13   0.3994   0.8338   0.666   0.104   0.209   0.537
  14   0.3823   0.7352   0.710   0.112   0.223   0.775
  15   0.7493   0.7999   0.624   0.006   0.082   0.728
  16   0.3729   0.8063   0.532   0.058   0.166   0.599
  17   0.4077   0.7554   0.690   0.060   0.157   0.864
  18   0.4883   0.7855   0.538   0.102   0.201   0.830
  19   0.3848   0.8013   0.707   0.089   0.192   0.789
  20   0.4180   0.8429   0.475  -0.018  -0.018   0.865
  21   0.3959   0.8025   0.696  -0.055   0.047   0.882
  22   0.3961   0.7904   0.549  -0.006   0.054   0.748
  23   0.3787   0.7506   0.793   0.014   0.084   0.884
  24   0.3683   0.7649   0.621   0.090   0.176   0.858
  25   0.3670   0.8025   0.590  -0.015   0.098   0.841
  26   0.3753   0.7280   0.763   0.076   0.205   0.859
  27   0.3381   0.7240   0.769   0.075   0.193   0.882
  28   0.3278   0.7365   0.752   0.109   0.236   0.804
  29   0.3580   0.7097   0.781   0.085   0.206   0.886
  30   0.3320   0.7120   0.777   0.072   0.207   0.885
  31   0.3780   0.7550   0.717   0.086   0.202   0.849
  32   0.3365   0.7123   0.778   0.071   0.191   0.884
  33   0.2935   0.7312   0.764   0.053   0.154   0.883
  34   0.3046   0.7512   0.643   0.030   0.104   0.879
  35   0.2859   0.7645   0.775   0.105   0.181   0.876
  36   0.3058   0.7292   0.760   0.080   0.212   0.828
  37   0.2852   0.7407   0.644   0.048   0.160   0.841
  38   0.3242   0.7463   0.725   0.059   0.126   0.871
  39   0.2971   0.7481   0.752  -0.006   0.106   0.883
  40   0.3055   0.7804   0.481   0.083   0.126   0.853
  41   0.3101   0.7406   0.712   0.010   0.111   0.890
  42   0.3446   0.7005   0.743   0.122   0.217   0.847
  43   0.3186   0.7743   0.734   0.085   0.236   0.852
  44   0.3264   0.8215   0.598   0.029   0.095   0.792
  45   0.4432   0.7328   0.766   0.101   0.170   0.875
  46   0.2837   0.7741   0.648   0.033   0.082   0.824
  47   0.2786   0.8834   0.517  -0.126  -0.212   0.854
  48   0.2920   0.7074   0.682   0.136   0.166   0.859
  49   0.2613   0.7097   0.734   0.111   0.107   0.810
  50   0.2642   0.7136   0.567   0.128   0.072   0.854
  51   0.2286   0.7693   0.725  -0.055  -0.114   0.898
  52   0.2192   0.6526   0.778   0.184   0.207   0.877
  53   0.2077   0.9253   0.703  -0.381  -0.222   0.866
  54   0.2050   0.6461   0.773   0.187   0.137   0.903
  55   0.2768   0.7906   0.655  -0.076  -0.239   0.881
  56   0.1657   0.7091   0.668   0.074   0.071   0.895
  57   0.1894   0.7489   0.603   0.007  -0.040   0.864
  58   0.1922   0.7216   0.733   0.060   0.001   0.879
  59   0.1796   0.9351   0.647  -0.412  -0.336   0.874
  60   0.1917   0.7254   0.669   0.094   0.054   0.870
  61   0.1972   0.6436   0.651   0.235   0.201   0.867
  62   0.1584   0.7966   0.741  -0.116  -0.156   0.885
  63   0.1639   0.6800   0.693   0.183   0.128   0.857
  64   0.1400   0.7385   0.661   0.084  -0.001   0.883
  65   0.1435   0.7743   0.697  -0.077  -0.107   0.857
  66   0.1406   0.6821   0.756   0.163   0.134   0.882
  67   0.1478   0.7321   0.724   0.082   0.042   0.844
  68   0.1772   0.6895   0.740   0.185   0.173   0.886
  69   0.1425   0.7284   0.730   0.074   0.062   0.886
  70   0.1491   0.7219   0.722   0.113   0.134   0.862
  71   0.1546   0.7008   0.758   0.126   0.076   0.884
  72   0.1337   0.7019   0.596   0.141   0.085   0.876
  73   0.1229   0.7550   0.660   0.000  -0.073   0.899
  74   0.1371   0.7180   0.664   0.117   0.098   0.881
  75   0.1228   0.7564   0.724   0.043   0.043   0.867
  76   0.1449   0.8126   0.698  -0.166  -0.149   0.872
  77   0.1176   0.7424   0.665   0.014  -0.050   0.881
  78   0.1224   0.7638   0.660  -0.024  -0.069   0.872
  79   0.1355   0.7189   0.732   0.075   0.032   0.886
  80   0.1153   0.8460   0.602  -0.212  -0.236   0.837
  81   0.1067   0.6852   0.757   0.120   0.074   0.880
  82   0.1038   0.7609   0.680  -0.047  -0.097   0.863
  83   0.1012   0.7427   0.663  -0.001  -0.061   0.883
  84   0.0999   0.7271   0.761   0.043  -0.012   0.887
  85   0.0932   0.7343   0.732   0.064   0.047   0.870
  86   0.1088   0.7412   0.630   0.041  -0.053   0.872
  87   0.0942   0.7157   0.658   0.079  -0.023   0.878
  88   0.0903   0.7304   0.686   0.028  -0.071   0.890
  89   0.0982   0.7666   0.630  -0.024  -0.114   0.872
  90   0.0917   0.7633   0.628  -0.007  -0.098   0.863
  91   0.1066   0.6986   0.718   0.127   0.065   0.865
  92   0.0969   0.7923   0.627  -0.058  -0.177   0.863
  93   0.0925   0.7733   0.603  -0.025  -0.155   0.871
Early stop @ ep 93

  OOD R² — nu=0.1925  rg=0.8139  A0=nan

============================================================
SATURATION RUN: n1000_seed42
============================================================
  n_train=900  n_val=100  n_ood=1025  kingdoms=5

Training kestrel_n1000_seed42 (2,185,578 params)
  Ep      Trn      Val      Rg      nu       Δ    geff
───────────────────────────────────────────────────────
   1   1.0292   0.4849   0.852   0.108   0.151   0.739
   2   0.6999   0.4559   0.734   0.093   0.147   0.848
   3   0.6117   0.4302   0.734   0.128   0.188   0.850
   4   0.5230   0.4304   0.621   0.139   0.201   0.782
